Term	GO
GOCC_OUTER_KINETOCHORE	GO:0000940
GOCC_PRP19_COMPLEX	GO:0000974
GOCC_SAM_COMPLEX	GO:0001401
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	GO:0001405
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	GO:0001518
GOCC_OUTER_DENSE_FIBER	GO:0001520
GOCC_MICROFIBRIL	GO:0001527
GOCC_CORNIFIED_ENVELOPE	GO:0001533
GOCC_RADIAL_SPOKE	GO:0001534
GOCC_RADIAL_SPOKE_HEAD	GO:0001535
GOCC_FIBRILLAR_CENTER	GO:0001650
GOCC_DENSE_FIBRILLAR_COMPONENT	GO:0001651
GOCC_GRANULAR_COMPONENT	GO:0001652
GOCC_ACROSOMAL_VESICLE	GO:0001669
GOCC_MALE_GERM_CELL_NUCLEUS	GO:0001673
GOCC_FEMALE_GERM_CELL_NUCLEUS	GO:0001674
GOCC_RUFFLE	GO:0001726
GOCC_SEX_CHROMATIN	GO:0001739
GOCC_BARR_BODY	GO:0001740
GOCC_XY_BODY	GO:0001741
GOCC_PHOTORECEPTOR_OUTER_SEGMENT	GO:0001750
GOCC_IMMUNOLOGICAL_SYNAPSE	GO:0001772
GOCC_PHAGOCYTIC_CUP	GO:0001891
GOCC_PHOTORECEPTOR_INNER_SEGMENT	GO:0001917
GOCC_FEMALE_PRONUCLEUS	GO:0001939
GOCC_MALE_PRONUCLEUS	GO:0001940
GOCC_INNER_ACROSOMAL_MEMBRANE	GO:0002079
GOCC_ACROSOMAL_MEMBRANE	GO:0002080
GOCC_OUTER_ACROSOMAL_MEMBRANE	GO:0002081
GOCC_PODOSOME	GO:0002102
GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	GO:0002116
GOCC_STEREOCILIA_COUPLING_LINK	GO:0002139
GOCC_MANCHETTE	GO:0002177
GOCC_PALMITOYLTRANSFERASE_COMPLEX	GO:0002178
GOCC_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_COMPLEX	GO:0002189
GOCC_ZONA_PELLUCIDA_RECEPTOR_COMPLEX	GO:0002199
GOCC_FIBRINOGEN_COMPLEX	GO:0005577
GOCC_MEMBRANE_ATTACK_COMPLEX	GO:0005579
GOCC_COLLAGEN_TRIMER	GO:0005581
GOCC_FIBRILLAR_COLLAGEN_TRIMER	GO:0005583
GOCC_COLLAGEN_TYPE_XI_TRIMER	GO:0005592
GOCC_FACIT_COLLAGEN_TRIMER	GO:0005593
GOCC_BASEMENT_MEMBRANE	GO:0005604
GOCC_INTERSTITIAL_MATRIX	GO:0005614
GOCC_EXTRACELLULAR_SPACE	GO:0005615
GOCC_NUCLEAR_ENVELOPE	GO:0005635
GOCC_NUCLEAR_INNER_MEMBRANE	GO:0005637
GOCC_LAMIN_FILAMENT	GO:0005638
GOCC_NUCLEAR_OUTER_MEMBRANE	GO:0005640
GOCC_NUCLEAR_ENVELOPE_LUMEN	GO:0005641
GOCC_ANNULATE_LAMELLAE	GO:0005642
GOCC_NUCLEAR_PORE	GO:0005643
GOCC_NUCLEAR_LAMINA	GO:0005652
GOCC_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX	GO:0005655
GOCC_REPLICATION_FORK	GO:0005657
GOCC_DNA_REPLICATION_FACTOR_A_COMPLEX	GO:0005662
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	GO:0005663
GOCC_RNA_POLYMERASE_II_CORE_COMPLEX	GO:0005665
GOCC_RNA_POLYMERASE_III_COMPLEX	GO:0005666
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	GO:0005667
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	GO:0005669
GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX	GO:0005672
GOCC_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX	GO:0005675
GOCC_CHROMATIN_SILENCING_COMPLEX	GO:0005677
GOCC_ANAPHASE_PROMOTING_COMPLEX	GO:0005680
GOCC_SPLICEOSOMAL_COMPLEX	GO:0005681
GOCC_U5_SNRNP	GO:0005682
GOCC_U7_SNRNP	GO:0005683
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	GO:0005684
GOCC_U1_SNRNP	GO:0005685
GOCC_U2_SNRNP	GO:0005686
GOCC_U4_SNRNP	GO:0005687
GOCC_U6_SNRNP	GO:0005688
GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX	GO:0005689
GOCC_CHROMOSOME	GO:0005694
GOCC_TELOMERASE_HOLOENZYME_COMPLEX	GO:0005697
GOCC_PERICENTRIC_HETEROCHROMATIN	GO:0005721
GOCC_PERICHROMATIN_FIBRILS	GO:0005726
GOCC_NUCLEOLUS	GO:0005730
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	GO:0005732
GOCC_RNA_POLYMERASE_I_COMPLEX	GO:0005736
GOCC_MITOCHONDRION	GO:0005739
GOCC_MITOCHONDRIAL_ENVELOPE	GO:0005740
GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX	GO:0005744
GOCC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_III	GO:0005750
GOCC_MITOCHONDRIAL_PERMEABILITY_TRANSITION_PORE_COMPLEX	GO:0005757
GOCC_MITOCHONDRIAL_MATRIX	GO:0005759
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GO:0005762
GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	GO:0005763
GOCC_SECONDARY_LYSOSOME	GO:0005767
GOCC_ENDOSOME	GO:0005768
GOCC_EARLY_ENDOSOME	GO:0005769
GOCC_LATE_ENDOSOME	GO:0005770
GOCC_MULTIVESICULAR_BODY	GO:0005771
GOCC_VACUOLE	GO:0005773
GOCC_VACUOLAR_MEMBRANE	GO:0005774
GOCC_VACUOLAR_LUMEN	GO:0005775
GOCC_AUTOPHAGOSOME	GO:0005776
GOCC_ENDOPLASMIC_RETICULUM	GO:0005783
GOCC_SIGNAL_PEPTIDASE_COMPLEX	GO:0005787
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	GO:0005788
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM	GO:0005790
GOCC_ROUGH_ENDOPLASMIC_RETICULUM	GO:0005791
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	GO:0005793
GOCC_GOLGI_APPARATUS	GO:0005794
GOCC_GOLGI_STACK	GO:0005795
GOCC_GOLGI_LUMEN	GO:0005796
GOCC_GOLGI_MEDIAL_CISTERNA	GO:0005797
GOCC_GOLGI_ASSOCIATED_VESICLE	GO:0005798
GOCC_CIS_GOLGI_NETWORK	GO:0005801
GOCC_TRANS_GOLGI_NETWORK	GO:0005802
GOCC_LIPID_DROPLET	GO:0005811
GOCC_CENTROSOME	GO:0005813
GOCC_CENTRIOLE	GO:0005814
GOCC_MICROTUBULE_ORGANIZING_CENTER	GO:0005815
GOCC_ASTER	GO:0005818
GOCC_SPINDLE	GO:0005819
GOCC_ACTOMYOSIN_CONTRACTILE_RING	GO:0005826
GOCC_POLAR_MICROTUBULE	GO:0005827
GOCC_KINETOCHORE_MICROTUBULE	GO:0005828
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	GO:0005832
GOCC_PROTEASOME_CORE_COMPLEX	GO:0005839
GOCC_RIBOSOME	GO:0005840
GOCC_POLYSOME	GO:0005844
GOCC_MRNA_CAP_BINDING_COMPLEX	GO:0005845
GOCC_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX	GO:0005847
GOCC_MRNA_CLEAVAGE_FACTOR_COMPLEX	GO:0005849
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2_COMPLEX	GO:0005850
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	GO:0005851
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	GO:0005852
GOCC_AXONEMAL_DYNEIN_COMPLEX	GO:0005858
GOCC_MUSCLE_MYOSIN_COMPLEX	GO:0005859
GOCC_TROPONIN_COMPLEX	GO:0005861
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	GO:0005868
GOCC_DYNACTIN_COMPLEX	GO:0005869
GOCC_KINESIN_COMPLEX	GO:0005871
GOCC_MICROTUBULE	GO:0005874
GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	GO:0005875
GOCC_SPINDLE_MICROTUBULE	GO:0005876
GOCC_AXONEMAL_MICROTUBULE	GO:0005879
GOCC_CYTOPLASMIC_MICROTUBULE	GO:0005881
GOCC_INTERMEDIATE_FILAMENT	GO:0005882
GOCC_NEUROFILAMENT	GO:0005883
GOCC_ACTIN_FILAMENT	GO:0005884
GOCC_ARP2_3_PROTEIN_COMPLEX	GO:0005885
GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX	GO:0005890
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	GO:0005891
GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	GO:0005892
GOCC_CAVEOLA	GO:0005901
GOCC_MICROVILLUS	GO:0005902
GOCC_BRUSH_BORDER	GO:0005903
GOCC_CLATHRIN_COATED_PIT	GO:0005905
GOCC_CELL_CELL_JUNCTION	GO:0005911
GOCC_ADHERENS_JUNCTION	GO:0005912
GOCC_ZONULA_ADHERENS	GO:0005915
GOCC_FASCIA_ADHERENS	GO:0005916
GOCC_GAP_JUNCTION	GO:0005921
GOCC_CONNEXIN_COMPLEX	GO:0005922
GOCC_MUSCLE_TENDON_JUNCTION	GO:0005927
GOCC_CILIUM	GO:0005929
GOCC_CELL_CORTEX	GO:0005938
GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	GO:0005942
GOCC_MITOCHONDRIAL_ALPHA_KETOGLUTARATE_DEHYDROGENASE_COMPLEX	GO:0005947
GOCC_CAMP_DEPENDENT_PROTEIN_KINASE_COMPLEX	GO:0005952
GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX	GO:0005954
GOCC_CALCINEURIN_COMPLEX	GO:0005955
GOCC_PHOSPHORYLASE_KINASE_COMPLEX	GO:0005964
GOCC_MITOCHONDRIAL_PYRUVATE_DEHYDROGENASE_COMPLEX	GO:0005967
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	GO:0008023
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	GO:0008024
GOCC_VOLTAGE_GATED_POTASSIUM_CHANNEL_COMPLEX	GO:0008076
GOCC_SPECTRIN	GO:0008091
GOCC_COP9_SIGNALOSOME	GO:0008180
GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX	GO:0008250
GOCC_COHESIN_COMPLEX	GO:0008278
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX	GO:0008290
GOCC_CASPASE_COMPLEX	GO:0008303
GOCC_INTEGRIN_COMPLEX	GO:0008305
GOCC_IKAPPAB_KINASE_COMPLEX	GO:0008385
GOCC_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX	GO:0008540
GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX	GO:0008541
GOCC_NUCLEOID	GO:0009295
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GO:0009897
GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GO:0009898
GOCC_CELL_SURFACE	GO:0009986
GOCC_ENDOSOME_MEMBRANE	GO:0010008
GOCC_CYTOPLASMIC_SIDE_OF_ENDOSOME_MEMBRANE	GO:0010009
GOCC_CHROMOCENTER	GO:0010369
GOCC_CYTOPLASMIC_STRESS_GRANULE	GO:0010494
GOCC_VESICLE_MEMBRANE	GO:0012506
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	GO:0012507
GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE	GO:0012510
GOCC_INTERCALATED_DISC	GO:0014704
GOCC_SPECTRIN_ASSOCIATED_CYTOSKELETON	GO:0014731
GOCC_CAJAL_BODY	GO:0015030
GOCC_ACTIN_CYTOSKELETON	GO:0015629
GOCC_MICROTUBULE_CYTOSKELETON	GO:0015630
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GO:0015934
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GO:0015935
GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX	GO:0016010
GOCC_DYSTROGLYCAN_COMPLEX	GO:0016011
GOCC_INCLUSION_BODY	GO:0016234
GOCC_AGGRESOME	GO:0016235
GOCC_PREFOLDIN_COMPLEX	GO:0016272
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX	GO:0016281
GOCC_BASOLATERAL_PLASMA_MEMBRANE	GO:0016323
GOCC_APICAL_PLASMA_MEMBRANE	GO:0016324
GOCC_APICOLATERAL_PLASMA_MEMBRANE	GO:0016327
GOCC_LATERAL_PLASMA_MEMBRANE	GO:0016328
GOCC_CATENIN_COMPLEX	GO:0016342
GOCC_NUCLEAR_MATRIX	GO:0016363
GOCC_MYOSIN_COMPLEX	GO:0016459
GOCC_MYOSIN_II_COMPLEX	GO:0016460
GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	GO:0016461
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX	GO:0016469
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	GO:0016471
GOCC_SWI_SNF_COMPLEX	GO:0016514
GOCC_SARCOPLASM	GO:0016528
GOCC_SARCOPLASMIC_RETICULUM	GO:0016529
GOCC_NURD_COMPLEX	GO:0016581
GOCC_RSC_TYPE_COMPLEX	GO:0016586
GOCC_NURF_COMPLEX	GO:0016589
GOCC_RNA_POLYMERASE_II_HOLOENZYME	GO:0016591
GOCC_MEDIATOR_COMPLEX	GO:0016592
GOCC_CDC73_PAF1_COMPLEX	GO:0016593
GOCC_FLOTILLIN_COMPLEX	GO:0016600
GOCC_CCAAT_BINDING_FACTOR_COMPLEX	GO:0016602
GOCC_NUCLEAR_BODY	GO:0016604
GOCC_PML_BODY	GO:0016605
GOCC_NUCLEAR_SPECK	GO:0016607
GOCC_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEIN_COMPLEX	GO:0016942
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	GO:0017053
GOCC_INTRACELLULAR_CYCLIC_NUCLEOTIDE_ACTIVATED_CATION_CHANNEL_COMPLEX	GO:0017071
GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX	GO:0017101
GOCC_GOLGI_TRANSPORT_COMPLEX	GO:0017119
GOCC_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	GO:0017146
GOCC_HOST_CELLULAR_COMPONENT	GO:0018995
GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	GO:0019005
GOCC_PROTEASOME_CORE_COMPLEX_ALPHA_SUBUNIT_COMPLEX	GO:0019773
GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX	GO:0019774
GOCC_IMMUNOGLOBULIN_COMPLEX	GO:0019814
GOCC_B_CELL_RECEPTOR_COMPLEX	GO:0019815
GOCC_ORGANELLE_INNER_MEMBRANE	GO:0019866
GOCC_OUTER_MEMBRANE	GO:0019867
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO:0019897
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	GO:0019898
GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	GO:0019908
GOCC_PROTEASOME_ACCESSORY_COMPLEX	GO:0022624
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GO:0022625
GOCC_CYTOSOLIC_RIBOSOME	GO:0022626
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GO:0022627
GOCC_TRAPP_COMPLEX	GO:0030008
GOCC_CCR4_NOT_COMPLEX	GO:0030014
GOCC_CCR4_NOT_CORE_COMPLEX	GO:0030015
GOCC_SARCOMERE	GO:0030017
GOCC_LAMELLIPODIUM	GO:0030027
GOCC_CELL_SUBSTRATE_JUNCTION	GO:0030055
GOCC_HEMIDESMOSOME	GO:0030056
GOCC_DESMOSOME	GO:0030057
GOCC_MITOCHONDRIAL_CRISTA	GO:0030061
GOCC_MITOCHONDRIAL_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX	GO:0030062
GOCC_MEMBRANE_COAT	GO:0030117
GOCC_CLATHRIN_COAT	GO:0030118
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	GO:0030119
GOCC_VESICLE_COAT	GO:0030120
GOCC_AP_1_ADAPTOR_COMPLEX	GO:0030121
GOCC_AP_3_ADAPTOR_COMPLEX	GO:0030123
GOCC_CLATHRIN_VESICLE_COAT	GO:0030125
GOCC_COPI_VESICLE_COAT	GO:0030126
GOCC_COPII_VESICLE_COAT	GO:0030127
GOCC_CLATHRIN_COAT_OF_TRANS_GOLGI_NETWORK_VESICLE	GO:0030130
GOCC_CLATHRIN_ADAPTOR_COMPLEX	GO:0030131
GOCC_CLATHRIN_COAT_OF_COATED_PIT	GO:0030132
GOCC_TRANSPORT_VESICLE	GO:0030133
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	GO:0030134
GOCC_COATED_VESICLE	GO:0030135
GOCC_CLATHRIN_COATED_VESICLE	GO:0030136
GOCC_COPI_COATED_VESICLE	GO:0030137
GOCC_ENDOCYTIC_VESICLE	GO:0030139
GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE	GO:0030140
GOCC_SECRETORY_GRANULE	GO:0030141
GOCC_FILOPODIUM	GO:0030175
GOCC_DYNEIN_COMPLEX	GO:0030286
GOCC_PROTEIN_PHOSPHATASE_4_COMPLEX	GO:0030289
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GO:0030312
GOCC_JUNCTIONAL_MEMBRANE_COMPLEX	GO:0030314
GOCC_T_TUBULE	GO:0030315
GOCC_AXON	GO:0030424
GOCC_SITE_OF_POLARIZED_GROWTH	GO:0030427
GOCC_SMOOTH_MUSCLE_CONTRACTILE_FIBER	GO:0030485
GOCC_MIDBODY	GO:0030496
GOCC_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_RECEPTOR_COMPLEX	GO:0030526
GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	GO:0030532
GOCC_TRANSPORT_VESICLE_MEMBRANE	GO:0030658
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	GO:0030660
GOCC_COATED_VESICLE_MEMBRANE	GO:0030662
GOCC_COPI_COATED_VESICLE_MEMBRANE	GO:0030663
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	GO:0030665
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	GO:0030666
GOCC_SECRETORY_GRANULE_MEMBRANE	GO:0030667
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	GO:0030669
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	GO:0030670
GOCC_SYNAPTIC_VESICLE_MEMBRANE	GO:0030672
GOCC_AXOLEMMA	GO:0030673
GOCC_RIBONUCLEASE_P_COMPLEX	GO:0030677
GOCC_MULTIMERIC_RIBONUCLEASE_P_COMPLEX	GO:0030681
GOCC_PRERIBOSOME	GO:0030684
GOCC_90S_PRERIBOSOME	GO:0030686
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	GO:0030687
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	GO:0030688
GOCC_CORTICAL_CYTOSKELETON	GO:0030863
GOCC_CORTICAL_ACTIN_CYTOSKELETON	GO:0030864
GOCC_ROUGH_ENDOPLASMIC_RETICULUM_MEMBRANE	GO:0030867
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM_MEMBRANE	GO:0030868
GOCC_MRE11_COMPLEX	GO:0030870
GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX	GO:0030877
GOCC_RNA_POLYMERASE_COMPLEX	GO:0030880
GOCC_VCB_COMPLEX	GO:0030891
GOCC_MITOTIC_COHESIN_COMPLEX	GO:0030892
GOCC_MEIOTIC_COHESIN_COMPLEX	GO:0030893
GOCC_REPLISOME	GO:0030894
GOCC_CHECKPOINT_CLAMP_COMPLEX	GO:0030896
GOCC_HOPS_COMPLEX	GO:0030897
GOCC_RETROMER_COMPLEX	GO:0030904
GOCC_SMC5_SMC6_COMPLEX	GO:0030915
GOCC_NADH_DEHYDROGENASE_COMPLEX	GO:0030964
GOCC_CORTICAL_MICROTUBULE_CYTOSKELETON	GO:0030981
GOCC_INTRACILIARY_TRANSPORT_PARTICLE	GO:0030990
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_A	GO:0030991
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	GO:0030992
GOCC_ISWI_TYPE_COMPLEX	GO:0031010
GOCC_INO80_COMPLEX	GO:0031011
GOCC_INTERPHASE_MICROTUBULE_ORGANIZING_CENTER	GO:0031021
GOCC_DENSE_CORE_GRANULE	GO:0031045
GOCC_NUCLEOCYTOPLASMIC_TRANSPORT_COMPLEX	GO:0031074
GOCC_NUCLEAR_PORE_OUTER_RING	GO:0031080
GOCC_BLOC_COMPLEX	GO:0031082
GOCC_BLOC_1_COMPLEX	GO:0031083
GOCC_PLATELET_ALPHA_GRANULE	GO:0031091
GOCC_PLATELET_DENSE_TUBULAR_NETWORK	GO:0031094
GOCC_PSEUDOPODIUM	GO:0031143
GOCC_SNARE_COMPLEX	GO:0031201
GOCC_SCAR_COMPLEX	GO:0031209
GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	GO:0031211
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GO:0031234
GOCC_CELL_LEADING_EDGE	GO:0031252
GOCC_CELL_PROJECTION_MEMBRANE	GO:0031253
GOCC_CELL_TRAILING_EDGE	GO:0031254
GOCC_LEADING_EDGE_MEMBRANE	GO:0031256
GOCC_LAMELLIPODIUM_MEMBRANE	GO:0031258
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX	GO:0031261
GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	GO:0031264
GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	GO:0031265
GOCC_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	GO:0031312
GOCC_EXTRINSIC_COMPONENT_OF_ENDOSOME_MEMBRANE	GO:0031313
GOCC_RNAI_EFFECTOR_COMPLEX	GO:0031332
GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	GO:0031371
GOCC_CTF18_RFC_LIKE_COMPLEX	GO:0031390
GOCC_N_TERMINAL_PROTEIN_ACETYLTRANSFERASE_COMPLEX	GO:0031414
GOCC_NATA_COMPLEX	GO:0031415
GOCC_BOX_C_D_RNP_COMPLEX	GO:0031428
GOCC_BOX_H_ACA_SNORNP_COMPLEX	GO:0031429
GOCC_M_BAND	GO:0031430
