Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Gene name
ENSG00000275063	ENSMUSG00000103939	Ighv3-4	ortholog_many2many	
ENSG00000275063	ENSMUSG00000096464	Ighv2-2	ortholog_many2many	
ENSG00000275063	ENSMUSG00000076672	Ighv3-6	ortholog_many2many	
ENSG00000275063	ENSMUSG00000094029	Ighv3-3	ortholog_many2many	
ENSG00000275063	ENSMUSG00000096824	Ighv2-7	ortholog_many2many	
ENSG00000275063	ENSMUSG00000093838	Ighv3-1	ortholog_many2many	
ENSG00000275063	ENSMUSG00000076674	Ighv3-8	ortholog_many2many	
ENSG00000275063	ENSMUSG00000076676	Ighv12-3	ortholog_many2many	
ENSG00000275063	ENSMUSG00000096670	Ighv2-6	ortholog_many2many	
ENSG00000275063	ENSMUSG00000095565	Ighv2-9-1	ortholog_many2many	
ENSG00000275063	ENSMUSG00000096498	Ighv2-5	ortholog_many2many	
ENSG00000273532	ENSMUSG00002076121	Gm56420	ortholog_one2many	
ENSG00000273554	ENSMUSG00000019558	Slc6a8	ortholog_one2many	
ENSG00000114374	ENSMUSG00000069044	Usp9y	ortholog_one2one	USP9Y
ENSG00000244395	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1D
ENSG00000244395	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1D
ENSG00000169953	ENSMUSG00000045336	Hsfy2	ortholog_one2many	HSFY2
ENSG00000012817	ENSMUSG00000056673	Kdm5d	ortholog_one2one	KDM5D
ENSG00000172468	ENSMUSG00000045336	Hsfy2	ortholog_one2many	HSFY1
ENSG00000176679	ENSMUSG00000100194	Tgif2lx2	ortholog_many2many	TGIF2LY
ENSG00000176679	ENSMUSG00000100133	Tgif2lx1	ortholog_many2many	TGIF2LY
ENSG00000169800	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1F
ENSG00000169800	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1F
ENSG00000251996	ENSMUSG00000084644	Gm24379	ortholog_one2many	Y_RNA
ENSG00000252155	ENSMUSG00000065664	Gm22578	ortholog_many2many	RNU6-941P
ENSG00000252155	ENSMUSG00000118948	Gm23790	ortholog_many2many	RNU6-941P
ENSG00000184895	ENSMUSG00000069036	Sry	ortholog_one2one	SRY
ENSG00000067048	ENSMUSG00000069045	Ddx3y	ortholog_one2one	DDX3Y
ENSG00000183878	ENSMUSG00000068457	Uty	ortholog_one2one	UTY
ENSG00000154620	ENSMUSG00000049775	Tmsb4x	ortholog_one2one	TMSB4Y
ENSG00000251925	ENSMUSG00000065036	Gm22362	ortholog_one2many	SNORA70
ENSG00000092377	ENSMUSG00000025246	Tbl1x	ortholog_one2many	TBL1Y
ENSG00000242389	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1E
ENSG00000242389	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1E
ENSG00000165246	ENSMUSG00000121607		ortholog_one2many	NLGN4Y
ENSG00000251796	ENSMUSG00000065036	Gm22362	ortholog_one2many	SNORA70
ENSG00000099715	ENSMUSG00000034755	Pcdh11x	ortholog_one2many	PCDH11Y
ENSG00000226941	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1J
ENSG00000226941	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1J
ENSG00000242875	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1B
ENSG00000242875	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1B
ENSG00000234414	ENSMUSG00000101667	Gm29289	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000093987	Gm21704	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000094511	Gm21693	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000095948	Gm21708	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000091987	Gm10352	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000102053	Gm4064	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000095852	Gm10256	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000094658	Rbmy	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000093918	Gm21677	ortholog_many2many	RBMY1A1
ENSG00000234414	ENSMUSG00000096520	Gm3376	ortholog_many2many	RBMY1A1
ENSG00000154646	ENSMUSG00000022857	Tmprss15	ortholog_one2one	TMPRSS15
ENSG00000154639	ENSMUSG00000044860	Gm1123	ortholog_one2one	CXADR
ENSG00000102699	ENSMUSG00000054509	Parp4	ortholog_one2one	PARP4
ENSG00000027001	ENSMUSG00000021993	Mipep	ortholog_one2one	MIPEP
ENSG00000142207	ENSMUSG00000039929	Urb1	ortholog_one2one	URB1
ENSG00000102781	ENSMUSG00000041298	Katnal1	ortholog_one2one	KATNAL1
ENSG00000154721	ENSMUSG00000053062	Jam2	ortholog_one2one	JAM2
ENSG00000132952	ENSMUSG00000041264	Uspl1	ortholog_one2one	USPL1
ENSG00000156282	ENSMUSG00000055811	Cldn17	ortholog_one2one	CLDN17
ENSG00000166265	ENSMUSG00000041134	Cyyr1	ortholog_one2one	CYYR1
ENSG00000243927	ENSMUSG00000039680	Mrps6	ortholog_one2one	MRPS6
ENSG00000102753	ENSMUSG00000021929	Kpna3	ortholog_one2one	KPNA3
ENSG00000188694	ENSMUSG00000050239	Krtap24-1	ortholog_one2one	KRTAP24-1
ENSG00000198743	ENSMUSG00000089774	Slc5a3	ortholog_one2one	SLC5A3
ENSG00000159259	ENSMUSG00000022945	Chaf1b	ortholog_one2one	CHAF1B
ENSG00000165475	ENSMUSG00000021947	Cryl1	ortholog_one2one	CRYL1
ENSG00000156304	ENSMUSG00000022983	Scaf4	ortholog_one2one	SCAF4
ENSG00000102547	ENSMUSG00000021981	Cab39l	ortholog_one2one	CAB39L
ENSG00000120675	ENSMUSG00000022013	Dnajc15	ortholog_one2one	DNAJC15
ENSG00000132975	ENSMUSG00000041468	Gpr12	ortholog_one2one	GPR12
ENSG00000154654	ENSMUSG00000022762	Ncam2	ortholog_one2one	NCAM2
ENSG00000132970	ENSMUSG00000029636	Wasf3	ortholog_one2one	WASF3
ENSG00000156284	ENSMUSG00000050520	Cldn8	ortholog_one2one	CLDN8
ENSG00000222018	ENSMUSG00000051728	Fam243	ortholog_one2one	C21orf140
ENSG00000142149	ENSMUSG00000053414	Hunk	ortholog_one2one	HUNK
ENSG00000154642	ENSMUSG00000022864	D16Ertd472e	ortholog_one2one	C21orf91
ENSG00000133110	ENSMUSG00000027750	Postn	ortholog_one2one	POSTN
ENSG00000159256	ENSMUSG00000039456	Morc3	ortholog_one2one	MORC3
ENSG00000159086	ENSMUSG00000022974	Paxbp1	ortholog_one2one	PAXBP1
ENSG00000205929	ENSMUSG00000039851	4932438H23Rik	ortholog_one2one	C21orf62
ENSG00000205726	ENSMUSG00000022957	Itsn1	ortholog_one2one	ITSN1
ENSG00000102531	ENSMUSG00000033487	Fndc3a	ortholog_one2one	FNDC3A
ENSG00000158270	ENSMUSG00000036103	Colec12	ortholog_one2one	COLEC12
ENSG00000141401	ENSMUSG00000024525	Impa2	ortholog_one2one	IMPA2
ENSG00000183722	ENSMUSG00000048332	Lhfpl6	ortholog_one2one	LHFPL6
ENSG00000168461	ENSMUSG00000056515	Rab31	ortholog_one2one	RAB31
ENSG00000023516	ENSMUSG00000022016	Akap11	ortholog_one2one	AKAP11
ENSG00000204899	ENSMUSG00000033186	Mzt1	ortholog_one2one	MZT1
ENSG00000120685	ENSMUSG00000049504	Proser1	ortholog_one2one	PROSER1
ENSG00000165837	ENSMUSG00000022002	Erich6b	ortholog_one2one	ERICH6B
ENSG00000083535	ENSMUSG00000022064	Pibf1	ortholog_one2one	PIBF1
ENSG00000176105	ENSMUSG00000014932	Yes1	ortholog_one2one	YES1
ENSG00000136122	ENSMUSG00000022070	Bora	ortholog_one2one	BORA
ENSG00000197705	ENSMUSG00000042514	Klhl14	ortholog_one2one	KLHL14
ENSG00000150361	ENSMUSG00000022076	Klhl1	ortholog_one2one	KLHL1
ENSG00000122034	ENSMUSG00000016503	Gtf3a	ortholog_one2one	GTF3A
ENSG00000178127	ENSMUSG00000024099	Ndufv2	ortholog_one2one	NDUFV2
ENSG00000120690	ENSMUSG00000036461	Elf1	ortholog_one2one	ELF1
ENSG00000154889	ENSMUSG00000062526	Mppe1	ortholog_one2one	MPPE1
ENSG00000136155	ENSMUSG00000022123	Scel	ortholog_one2one	SCEL
ENSG00000150893	ENSMUSG00000037016	Frem2	ortholog_one2one	FREM2
ENSG00000136111	ENSMUSG00000033083	Tbc1d4	ortholog_one2one	TBC1D4
ENSG00000101489	ENSMUSG00000024268	Celf4	ortholog_one2one	CELF4
ENSG00000136158	ENSMUSG00000022114	Spry2	ortholog_one2one	SPRY2
ENSG00000120686	ENSMUSG00000027746	Ufm1	ortholog_one2one	UFM1
ENSG00000102554	ENSMUSG00000005148	Klf5	ortholog_one2one	KLF5
ENSG00000174015	ENSMUSG00000034913	Cby2	ortholog_one2one	CBY2
ENSG00000134882	ENSMUSG00000041765	Ubac2	ortholog_one2one	UBAC2
ENSG00000133119	ENSMUSG00000033970	Rfc3	ortholog_one2one	RFC3
ENSG00000231824	ENSMUSG00000091636	Akain1	ortholog_one2one	AKAIN1
ENSG00000132874	ENSMUSG00000024552	Slc14a2	ortholog_one2one	SLC14A2
ENSG00000152192	ENSMUSG00000048349	Pou4f1	ortholog_one2one	POU4F1
ENSG00000182957	ENSMUSG00000021990	Spata13	ortholog_one2one	SPATA13
ENSG00000017797	ENSMUSG00000024096	Ralbp1	ortholog_one2one	RALBP1
ENSG00000141380	ENSMUSG00000037013	Ss18	ortholog_one2one	SS18
ENSG00000159261	ENSMUSG00000047109	Cldn14	ortholog_one2one	CLDN14
ENSG00000241837	ENSMUSG00000022956	Atp5po	ortholog_one2one	ATP5PO
ENSG00000188811	ENSMUSG00000042997	Nhlrc3	ortholog_one2one	NHLRC3
ENSG00000154645	ENSMUSG00000022860	Chodl	ortholog_one2one	CHODL
ENSG00000102837	ENSMUSG00000022026	Olfm4	ortholog_one2one	OLFM4
ENSG00000065150	ENSMUSG00000030662	Ipo5	ortholog_one2one	IPO5
ENSG00000160307	ENSMUSG00000033208	S100b	ortholog_one2one	S100B
ENSG00000156273	ENSMUSG00000025612	Bach1	ortholog_one2one	BACH1
ENSG00000157557	ENSMUSG00000022895	Ets2	ortholog_one2one	ETS2
ENSG00000101745	ENSMUSG00000034647	Ankrd12	ortholog_one2one	ANKRD12
ENSG00000152242	ENSMUSG00000047466	Ark2n	ortholog_one2one	ARK2N
ENSG00000157551	ENSMUSG00000062609	Kcnj15	ortholog_one2one	KCNJ15
ENSG00000154839	ENSMUSG00000036223	Ska1	ortholog_one2one	SKA1
ENSG00000139734	ENSMUSG00000022021	Diaph3	ortholog_one2one	DIAPH3
ENSG00000141425	ENSMUSG00000040446	Rprd1a	ortholog_one2one	RPRD1A
ENSG00000205758	ENSMUSG00000058240	Cryzl1	ortholog_one2one	CRYZL1
ENSG00000152214	ENSMUSG00000057455	Rit2	ortholog_one2one	RIT2
ENSG00000212710	ENSMUSG00000021000	Mia2	ortholog_one2many	CTAGE1
ENSG00000134489	ENSMUSG00000037346	Hrh4	ortholog_one2one	HRH4
ENSG00000101773	ENSMUSG00000041238	Rbbp8	ortholog_one2one	RBBP8
ENSG00000156239	ENSMUSG00000044442	N6amt1	ortholog_one2one	N6AMT1
ENSG00000154736	ENSMUSG00000022894	Adamts5	ortholog_one2one	ADAMTS5
ENSG00000275631	ENSMUSG00000065881	Gm22866	ortholog_one2many	U1
ENSG00000252199	ENSMUSG00000088005	Gm24787	ortholog_one2many	SNORA70
ENSG00000252963	ENSMUSG00002076531	Gm54681	ortholog_one2one	RN7SKP147
ENSG00000198445	ENSMUSG00000038044	Cct8l1	ortholog_one2one	CCT8L2
ENSG00000223078	ENSMUSG00000089183	Gm22946	ortholog_one2one	RNU2-55P
ENSG00000202339	ENSMUSG00002076258	Gm56427	ortholog_one2many	RNU4-45P
ENSG00000283904	ENSMUSG00000065397	Mir155	ortholog_one2one	MIR155
ENSG00000207097	ENSMUSG00000064737	Gm23056	ortholog_one2many	RNU6-614P
ENSG00000283300	ENSMUSG00000089407	Gm24878	ortholog_one2many	U6
ENSG00000283300	ENSMUSG00000084551	Gm24839	ortholog_one2many	U6
ENSG00000200792	ENSMUSG00000077449	Gm23127	ortholog_one2many	SNORA80A
ENSG00000157617	ENSMUSG00000045975	C2cd2	ortholog_one2one	C2CD2
ENSG00000168234	ENSMUSG00000024424	Ttc39c	ortholog_one2one	TTC39C
ENSG00000118946	ENSMUSG00000035566	Pcdh17	ortholog_one2one	PCDH17
ENSG00000152484	ENSMUSG00000029640	Usp12	ortholog_one2one	USP12
ENSG00000141639	ENSMUSG00000024558	Mapk4	ortholog_one2one	MAPK4
ENSG00000173276	ENSMUSG00000046962	Zbtb21	ortholog_one2one	ZBTB21
ENSG00000120688	ENSMUSG00000022023	Wbp4	ortholog_one2one	WBP4
ENSG00000141622	ENSMUSG00000025427	Ark2c	ortholog_one2one	ARK2C
ENSG00000099917	ENSMUSG00000012114	Med15	ortholog_one2one	MED15
ENSG00000180440	ENSMUSG00000056306	Sertm1	ortholog_one2one	SERTM1
ENSG00000159228	ENSMUSG00000051483	Cbr1	ortholog_one2many	CBR1
ENSG00000159228	ENSMUSG00000082815	Gm5678	ortholog_one2many	CBR1
ENSG00000139514	ENSMUSG00000041313	Slc7a1	ortholog_one2one	SLC7A1
ENSG00000177511	ENSMUSG00000056812	St8sia3	ortholog_one2one	ST8SIA3
ENSG00000176641	ENSMUSG00000047496	Rnf152	ortholog_one2one	RNF152
ENSG00000159231	ENSMUSG00000022947	Cbr3	ortholog_one2one	CBR3
ENSG00000166510	ENSMUSG00000038903	Ccdc68	ortholog_one2one	CCDC68
ENSG00000088386	ENSMUSG00000025557	Slc15a1	ortholog_one2one	SLC15A1
ENSG00000159216	ENSMUSG00000022952	Runx1	ortholog_one2one	RUNX1
ENSG00000175387	ENSMUSG00000024563	Smad2	ortholog_one2one	SMAD2
ENSG00000166979	ENSMUSG00000039903	Eva1c	ortholog_one2one	EVA1C
ENSG00000252045	ENSMUSG00000065004	Gm26326	ortholog_one2many	
ENSG00000150907	ENSMUSG00000044167	Foxo1	ortholog_one2one	FOXO1
ENSG00000159079	ENSMUSG00000022972	Cfap298	ortholog_one2one	CFAP298
ENSG00000041353	ENSMUSG00000024511	Rab27b	ortholog_one2one	RAB27B
ENSG00000136152	ENSMUSG00000034893	Cog3	ortholog_one2one	COG3
ENSG00000091164	ENSMUSG00000024583	Txnl1	ortholog_one2one	TXNL1
ENSG00000136141	ENSMUSG00000068015	Lrch1	ortholog_one2one	LRCH1
ENSG00000134030	ENSMUSG00000052928	Ctif	ortholog_one2one	CTIF
ENSG00000242220	ENSMUSG00000071322	Tcp10a	ortholog_one2many	TCP10L
ENSG00000242220	ENSMUSG00000052469	Tcp10c	ortholog_one2many	TCP10L
ENSG00000242220	ENSMUSG00000055602	Tcp10b	ortholog_one2many	TCP10L
ENSG00000099985	ENSMUSG00000058755	Osm	ortholog_one2one	OSM
ENSG00000154640	ENSMUSG00000022863	Btg3	ortholog_one2one	BTG3
ENSG00000185721	ENSMUSG00000020457	Drg1	ortholog_one2one	DRG1
ENSG00000102543	ENSMUSG00000021982	Cdadc1	ortholog_one2one	CDADC1
ENSG00000141441	ENSMUSG00000042680	Garem1	ortholog_one2one	GAREM1
ENSG00000184900	ENSMUSG00000020265	Sumo3	ortholog_one2one	SUMO3
ENSG00000083520	ENSMUSG00000033166	Dis3	ortholog_one2one	DIS3
ENSG00000154719	ENSMUSG00000022889	Mrpl39	ortholog_one2one	MRPL39
ENSG00000184828	ENSMUSG00000044646	Zbtb7c	ortholog_one2one	ZBTB7C
ENSG00000176635	ENSMUSG00000020419	Hormad2	ortholog_one2one	HORMAD2
ENSG00000155307	ENSMUSG00000022876	Samsn1	ortholog_one2one	SAMSN1
ENSG00000100365	ENSMUSG00000071715	Ncf4	ortholog_one2one	NCF4
ENSG00000205670	ENSMUSG00000051989	Smim11	ortholog_one2one	SMIM11
ENSG00000228075	ENSMUSG00000044502	Bod1	ortholog_one2many	BOD1L2
ENSG00000141665	ENSMUSG00000034391	Fbxo15	ortholog_one2one	FBXO15
ENSG00000159263	ENSMUSG00000062713	Sim2	ortholog_one2one	SIM2
ENSG00000133103	ENSMUSG00000027742	Cog6	ortholog_one2one	COG6
ENSG00000141437	ENSMUSG00000045973	Slc25a51	ortholog_one2many	SLC25A52
ENSG00000183145	ENSMUSG00000022941	Ripply3	ortholog_one2one	RIPPLY3
ENSG00000198089	ENSMUSG00000023764	Sfi1	ortholog_one2one	SFI1
ENSG00000160208	ENSMUSG00000058392	Rrp1b	ortholog_one2one	RRP1B
ENSG00000081138	ENSMUSG00000026312	Cdh7	ortholog_one2one	CDH7
ENSG00000160209	ENSMUSG00000032788	Pdxk	ortholog_one2one	PDXK
ENSG00000134779	ENSMUSG00000024269	Tpgs2	ortholog_one2one	TPGS2
ENSG00000102802	ENSMUSG00000029659	Medag	ortholog_one2one	MEDAG
ENSG00000134871	ENSMUSG00000031503	Col4a2	ortholog_one2one	COL4A2
ENSG00000160214	ENSMUSG00000061032	Rrp1	ortholog_one2one	RRP1
ENSG00000166603	ENSMUSG00000047259	Mc4r	ortholog_one2one	MC4R
ENSG00000184564	ENSMUSG00000045871	Slitrk6	ortholog_one2one	SLITRK6
ENSG00000166479	ENSMUSG00000024614	Tmx3	ortholog_one2one	TMX3
ENSG00000184226	ENSMUSG00000055421	Pcdh9	ortholog_one2one	PCDH9
ENSG00000160216	ENSMUSG00000001211	Agpat3	ortholog_one2one	AGPAT3
ENSG00000100346	ENSMUSG00000022416	Cacna1i	ortholog_one2one	CACNA1I
ENSG00000101542	ENSMUSG00000050840	Cdh20	ortholog_one2one	CDH20
ENSG00000160218	ENSMUSG00000000374	Trappc10	ortholog_one2one	TRAPPC10
ENSG00000175354	ENSMUSG00000024539	Ptpn2	ortholog_one2one	PTPN2
ENSG00000132950	ENSMUSG00000040123	Zmym5	ortholog_one2one	ZMYM5
ENSG00000241945	ENSMUSG00000032834	Pwp2	ortholog_one2one	PWP2
ENSG00000182968	ENSMUSG00000096014	Sox1	ortholog_one2one	SOX1
ENSG00000175664	ENSMUSG00000029660	Tex26	ortholog_one2one	TEX26
ENSG00000041515	ENSMUSG00000039057	Myo16	ortholog_one2one	MYO16
ENSG00000157540	ENSMUSG00000022897	Dyrk1a	ortholog_one2one	DYRK1A
ENSG00000081913	ENSMUSG00000044340	Phlpp1	ortholog_one2one	PHLPP1
ENSG00000100354	ENSMUSG00000047888	Tnrc6b	ortholog_one2one	TNRC6B
ENSG00000071991	ENSMUSG00000047216	Cdh19	ortholog_one2one	CDH19
ENSG00000187498	ENSMUSG00000031502	Col4a1	ortholog_one2one	COL4A1
ENSG00000175329	ENSMUSG00000031621	Isx	ortholog_one2one	ISX
ENSG00000100294	ENSMUSG00000048755	Mcat	ortholog_one2one	MCAT
ENSG00000176177	ENSMUSG00000050439	Enthd1	ortholog_one2one	ENTHD1
ENSG00000141428	ENSMUSG00000024273	2700062C07Rik	ortholog_one2one	C18orf21
ENSG00000128342	ENSMUSG00000034394	Lif	ortholog_one2one	LIF
ENSG00000141956	ENSMUSG00000014039	Prdm15	ortholog_one2one	PRDM15
ENSG00000100307	ENSMUSG00000053411	Cbx7	ortholog_one2one	CBX7
ENSG00000171873	ENSMUSG00000027335	Adra1d	ortholog_one2one	ADRA1D
ENSG00000101282	ENSMUSG00000032852	Rspo4	ortholog_one2one	RSPO4
ENSG00000134504	ENSMUSG00000036225	Kctd1	ortholog_one2one	KCTD1
ENSG00000125903	ENSMUSG00000074681	Defb23	ortholog_one2one	DEFB129
ENSG00000100344	ENSMUSG00000041653	Pnpla3	ortholog_one2one	PNPLA3
ENSG00000101280	ENSMUSG00000027460	Angpt4	ortholog_one2one	ANGPT4
ENSG00000089012	ENSMUSG00000078780	Gm5150	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000037902	Sirpa	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000078783	Sirpd	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000074677	Sirpb1c	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000095028	Sirpb1b	ortholog_many2many	SIRPG
ENSG00000089012	ENSMUSG00000095788	Sirpb1a	ortholog_many2many	SIRPG
ENSG00000186976	ENSMUSG00000022441	Efcab6	ortholog_one2one	EFCAB6
ENSG00000141424	ENSMUSG00000024270	Slc39a6	ortholog_one2one	SLC39A6
ENSG00000171984	ENSMUSG00000044991	Shld1	ortholog_one2one	SHLD1
ENSG00000198081	ENSMUSG00000049672	Zbtb14	ortholog_one2one	ZBTB14
ENSG00000149346	ENSMUSG00000027281	Slx4ip	ortholog_one2one	SLX4IP
ENSG00000185950	ENSMUSG00000038894	Irs2	ortholog_one2one	IRS2
ENSG00000178591	ENSMUSG00000074680	Defb26	ortholog_one2one	DEFB125
ENSG00000153498	ENSMUSG00000010435	Spaca7	ortholog_one2one	SPACA7
ENSG00000125820	ENSMUSG00000027434	Nkx2-2	ortholog_one2one	NKX2-2
ENSG00000166573	ENSMUSG00000024553	Galr1	ortholog_one2one	GALR1
ENSG00000125845	ENSMUSG00000027358	Bmp2	ortholog_one2one	BMP2
ENSG00000101327	ENSMUSG00000027400	Pdyn	ortholog_one2one	PDYN
ENSG00000054611	ENSMUSG00000051864	Tbc1d22a	ortholog_one2one	TBC1D22A
ENSG00000198795	ENSMUSG00000024420	Zfp521	ortholog_one2one	ZNF521
ENSG00000133115	ENSMUSG00000027744	Stoml3	ortholog_one2one	STOML3
ENSG00000125898	ENSMUSG00000027459	Fam110a	ortholog_one2one	FAM110A
ENSG00000088448	ENSMUSG00000031508	Ankrd10	ortholog_one2one	ANKRD10
