Gene stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000284915		TINF2
ENSG00000284915	Q9BSI4	TINF2
ENSG00000285348	P22735	TGM1
ENSG00000285348		TGM1
ENSG00000292354		SHOX
ENSG00000285193		RABGGTA
ENSG00000285193	Q92696	RABGGTA
ENSG00000292357		CSF2RA
ENSG00000292358		GTPBP6
ENSG00000284868	Q96LJ7	DHRS1
ENSG00000284868		DHRS1
ENSG00000285326	Q86U38	NOP9
ENSG00000285326		NOP9
ENSG00000285199	Q9UHD4	CIDEB
ENSG00000285199		CIDEB
ENSG00000285203		LTB4R2
ENSG00000285203	Q9NPC1	LTB4R2
ENSG00000292363		CRLF2
ENSG00000285456		LTB4R
ENSG00000285456	Q15722	LTB4R
ENSG00000292366		VAMP7
ENSG00000284814		ADCY4
ENSG00000284814	Q8NFM4	ADCY4
ENSG00000292372		WASH6P
ENSG00000292373		IL9R
ENSG00000285379	Q9Y572	RIPK3
ENSG00000285379		RIPK3
ENSG00000285485	Q14934	NFATC4
ENSG00000285485		NFATC4
ENSG00000284807		DHRS4
ENSG00000284807	Q9BTZ2	DHRS4
ENSG00000292270		DHRS4L2
ENSG00000280774	A8MZ59	LEUTX
ENSG00000281320	Q9Y463	DYRK1B
ENSG00000281320		DYRK1B
ENSG00000280548		FBL
ENSG00000280548	P22087	FBL
ENSG00000281221	P43686	PSMC4
ENSG00000281526		ZNF546
ENSG00000281526	Q86UE3	ZNF546
ENSG00000281601	Q9Y6R6	ZNF780B
ENSG00000281601		ZNF780B
ENSG00000280568		ZNF780A
ENSG00000280568	O75290	ZNF780A
ENSG00000281123	Q9Y6R7	FCGBP
ENSG00000285435	Q16695	H3-4
ENSG00000284841	Q7L7L0	H2AC25
ENSG00000285449	Q8N257	H2BC26
ENSG00000285426	Q5TA31	RNF187
ENSG00000284984	Q7L0Q8	RHOU
ENSG00000280584	Q9NPH6	OBP2B
ENSG00000281309	O75683	SURF6
ENSG00000281022	Q15528	MED22
ENSG00000281022		MED22
ENSG00000280858	P62424	RPL7A
ENSG00000280858		RPL7A
ENSG00000283984		
ENSG00000280627	Q15526	SURF1
ENSG00000280627		SURF1
ENSG00000281024	Q15527	SURF2
ENSG00000280951		SURF4
ENSG00000280951	O15260	SURF4
ENSG00000281245	Q8NE28	STKLD1
ENSG00000280706	Q9GZR2	REXO4
ENSG00000280706		REXO4
ENSG00000281244	Q76LX8	ADAMTS13
ENSG00000281244		ADAMTS13
ENSG00000280479	Q9UGQ2	CACFD1
ENSG00000280479		CACFD1
ENSG00000281165	Q9UGQ3	SLC2A6
ENSG00000281165		SLC2A6
ENSG00000281879		ABO
ENSG00000285063	Q64ET8	FRG2
ENSG00000283153		FRG1
ENSG00000283153	Q14331	FRG1
ENSG00000284383		
ENSG00000284496		
ENSG00000284262		
ENSG00000283767		
ENSG00000284210		
ENSG00000283884		
ENSG00000283955		
ENSG00000284025		
ENSG00000283878		
ENSG00000284181		
ENSG00000283820		
ENSG00000283363		DUX4L8
ENSG00000283949		DUX4
ENSG00000283949	Q9UBX2	DUX4
ENSG00000291479		NAT8
ENSG00000291480		TPRKB
ENSG00000291483		DUSP11
ENSG00000291465		GPR20
ENSG00000291484		C2orf78
ENSG00000291485		NAT8B
ENSG00000291470		PTP4A3
ENSG00000291474		C8orf90
ENSG00000291474	A0A2R8Y2Y2	C8orf90
ENSG00000291473	Q6ZUA9	MROH5
ENSG00000291473		MROH5
ENSG00000281877		RPS6KA1
ENSG00000281877	Q15418	RPS6KA1
ENSG00000283781	Q13470	TNK1
ENSG00000283781		TNK1
ENSG00000284009	Q9NRY6	PLSCR3
ENSG00000284009		PLSCR3
ENSG00000284483		TMEM256-PLSCR3
ENSG00000283771	Q8N2U0	TMEM256
ENSG00000283771		TMEM256
ENSG00000283859	Q8NFZ4	NLGN2
ENSG00000283859		NLGN2
ENSG00000284598	Q8N4L4	SPEM1
ENSG00000283714	Q0P670	SPEM2
ENSG00000283714		SPEM2
ENSG00000284090	A0A1B0GUW6	SPEM3
ENSG00000284090		SPEM3
ENSG00000286184		
ENSG00000284228	Q8N9M5	TMEM102
ENSG00000283903		FGF11
ENSG00000283903	Q92914	FGF11
ENSG00000283946	P11230	CHRNB1
ENSG00000283946		CHRNB1
ENSG00000283868	Q9P1Z0	ZBTB4
ENSG00000284515	P0C7Q6	SLC35G6
ENSG00000284832		POLR2A
ENSG00000285312		C6orf52
ENSG00000285312	Q5T4I8	C6orf52
ENSG00000285226	Q9NWT1	PAK1IP1
ENSG00000284936	Q9P0S9	TMEM14C
ENSG00000285222		GCNT2
ENSG00000285222	Q8N0V5	GCNT2
ENSG00000281894	Q9P0L1	ZKSCAN7
ENSG00000281894		ZKSCAN7
ENSG00000280661		ZNF660
ENSG00000280661	Q6AZW8	ZNF660
ENSG00000281709		ZNF197
ENSG00000281709	O14709	ZNF197
ENSG00000281306	P13682	ZNF35
ENSG00000281306		ZNF35
ENSG00000281448	Q8TBZ5	ZNF502
ENSG00000281448		ZNF502
ENSG00000281661	Q96CX3	ZNF501
ENSG00000281665	Q96AT1	KIAA1143
ENSG00000280610		KIF15
ENSG00000280610	Q9NS87	KIF15
ENSG00000280516	Q69YG0	TMEM42
ENSG00000281886	P49221	TGM4
ENSG00000281886		TGM4
ENSG00000281626	Q6ZMS4	ZNF852
ENSG00000281626		ZNF852
ENSG00000154646	P98073	TMPRSS15
ENSG00000154646		TMPRSS15
ENSG00000283068	Q9P2D0	IBTK
ENSG00000283068		IBTK
ENSG00000283085	Q13641	TPBG
ENSG00000291488		ITGA9
ENSG00000284068	A9QM74	KPNA7
ENSG00000154639	P78310	CXADR
ENSG00000277282		IGHV1OR21-1
ENSG00000102699	Q9UKK3	PARP4
ENSG00000027001	Q99797	MIPEP
ENSG00000142207	O60287	URB1
ENSG00000232263	Q3LHN0	KRTAP25-1
ENSG00000102781	Q9BW62	KATNAL1
ENSG00000281459	Q9ULC6	PADI1
ENSG00000102781		KATNAL1
ENSG00000280549	Q9ULW8	PADI3
ENSG00000280908		PADI4
ENSG00000280908	Q9UM07	PADI4
ENSG00000280949	Q6TGC4	PADI6
ENSG00000281540	Q9P258	RCC2
ENSG00000236444	A0A1B0GUS4	UBE2L5
ENSG00000291501		TRIM71
ENSG00000291502		CNOT10
ENSG00000154721	P57087	JAM2
ENSG00000154721		JAM2
ENSG00000132952	Q5W0Q7	USPL1
ENSG00000156282	P56750	CLDN17
ENSG00000166265	Q96J86	CYYR1
ENSG00000189403	P09429	HMGB1
ENSG00000189403		HMGB1
ENSG00000243927	P82932	MRPS6
ENSG00000273167		
ENSG00000188694	Q3LI83	KRTAP24-1
ENSG00000198743	P53794	SLC5A3
ENSG00000159259	Q13112	CHAF1B
ENSG00000288411		SAA1
ENSG00000288445	Q9UPZ3	HPS5
ENSG00000288445		HPS5
ENSG00000288114	P32780	GTF2H1
ENSG00000288114		GTF2H1
ENSG00000288264		
ENSG00000288299		LDHA
ENSG00000288299	P00338	LDHA
ENSG00000288485		ELP5
ENSG00000288485	Q8TE02	ELP5
ENSG00000288292	O95471	CLDN7
ENSG00000288292		CLDN7
ENSG00000288174	P14672	SLC2A4
ENSG00000288174		SLC2A4
ENSG00000288504	Q9Y2T7	YBX2
ENSG00000288504		YBX2
ENSG00000288145	P63241	EIF5A
ENSG00000288145		EIF5A
ENSG00000102753	O00505	KPNA3
ENSG00000102753		KPNA3
ENSG00000288325		GPS2
ENSG00000288325	Q13227	GPS2
ENSG00000165475		CRYL1
ENSG00000288456		
ENSG00000288301	Q96JN8	NEURL4
ENSG00000288301		NEURL4
ENSG00000288169	Q15027	ACAP1
ENSG00000288169		ACAP1
ENSG00000288399	Q693B1	KCTD11
ENSG00000288511	Q3KNT9	TMEM95
ENSG00000288401	Q14247	CTTN
ENSG00000288401		CTTN
ENSG00000288198		PPFIA1
ENSG00000281917	P53985	SLC16A1
ENSG00000281917		SLC16A1
ENSG00000165475	Q9Y2S2	CRYL1
ENSG00000291505		CCDC40
ENSG00000291507		GAA
ENSG00000284900	Q9NVX7	KBTBD4
ENSG00000291508		EIF4A3
ENSG00000284900		KBTBD4
ENSG00000284938	Q6P0A1	FAM180B
ENSG00000284838	Q9BXJ3	C1QTNF4
ENSG00000284838		C1QTNF4
ENSG00000285501		AGBL2
ENSG00000285501	Q5U5Z8	AGBL2
ENSG00000285182	Q8N3X1	FNBP4
ENSG00000285182		FNBP4
ENSG00000285121	Q9Y6C9	MTCH2
ENSG00000285121		MTCH2
ENSG00000102547	Q9H9S4	CAB39L
ENSG00000102547		CAB39L
ENSG00000156304	O95104	SCAF4
ENSG00000120675	Q9Y5T4	DNAJC15
ENSG00000132975	P47775	GPR12
ENSG00000288435	Q969M2	GJA10
ENSG00000288435		GJA10
ENSG00000288475	Q9UKL3	CASP8AP2
ENSG00000288475		CASP8AP2
ENSG00000154654	O15394	NCAM2
ENSG00000154654		NCAM2
ENSG00000132970		WASF3
ENSG00000132970	Q9UPY6	WASF3
ENSG00000156284	P56748	CLDN8
ENSG00000222018	B9A014	C21orf140
ENSG00000142149	P57058	HUNK
ENSG00000142149		HUNK
ENSG00000291520		NXNL2
ENSG00000154642	Q9NYK6	C21orf91
ENSG00000154642		C21orf91
ENSG00000159256	Q14149	MORC3
ENSG00000159256		MORC3
ENSG00000281813		KAT6B
ENSG00000281813	Q8WYB5	KAT6B
ENSG00000159086	Q9Y5B6	PAXBP1
ENSG00000159086		PAXBP1
ENSG00000281660	Q68J44	DUSP29
ENSG00000205929	Q9NYP8	C21orf62
ENSG00000205929		C21orf62
ENSG00000133110		POSTN
ENSG00000133110	Q15063	POSTN
ENSG00000158270	Q5KU26	COLEC12
ENSG00000141401		IMPA2
ENSG00000102531	Q9Y2H6	FNDC3A
ENSG00000102531		FNDC3A
ENSG00000288508	O14498	ISLR
ENSG00000288508		ISLR
ENSG00000288257	Q9BX79	STRA6
ENSG00000288257		STRA6
ENSG00000183722	Q9Y693	LHFPL6
ENSG00000141401	O14732	IMPA2
ENSG00000288407		CCDC33
ENSG00000288407	Q8N5R6	CCDC33
ENSG00000288362	P05108	CYP11A1
ENSG00000288362		CYP11A1
ENSG00000288455	O75326	SEMA7A
ENSG00000288455		SEMA7A
ENSG00000291534		LTN1
ENSG00000288408		UBL7
ENSG00000288408	Q96S82	UBL7
ENSG00000291523		RWDD2B
ENSG00000291527		USP16
ENSG00000023516	Q9UKA4	AKAP11
ENSG00000204899	Q08AG7	MZT1
ENSG00000291533		CCT8
ENSG00000168461	Q13636	RAB31
ENSG00000168461		RAB31
ENSG00000291525		MAP3K7CL
ENSG00000120685	Q86XN7	PROSER1
ENSG00000120685		PROSER1
ENSG00000165837	Q5W0A0	ERICH6B
ENSG00000282825	O43310	CTIF
ENSG00000282825		CTIF
ENSG00000176105		YES1
ENSG00000176105	P07947	YES1
ENSG00000083535	Q8WXW3	PIBF1
ENSG00000083535		PIBF1
ENSG00000291544		APOB
ENSG00000291547		TDRD15
ENSG00000136122	Q6PGQ7	BORA
ENSG00000136122		BORA
ENSG00000197705	Q9P2G3	KLHL14
ENSG00000197705		KLHL14
ENSG00000150361	Q9NR64	KLHL1
ENSG00000150361		KLHL1
ENSG00000122034	Q92664	GTF3A
ENSG00000122034		GTF3A
ENSG00000178127		NDUFV2
ENSG00000280975	Q86UT8	CENATAC
ENSG00000280975		CENATAC
ENSG00000280831		RPS25
ENSG00000280831	P62851	RPS25
ENSG00000280495		TRAPPC4
ENSG00000280495	Q9Y296	TRAPPC4
ENSG00000120690		ELF1
ENSG00000280682	Q9Y4L1	HYOU1
ENSG00000280682		HYOU1
ENSG00000178127	P19404	NDUFV2
ENSG00000280616		VPS11
ENSG00000120690	P32519	ELF1
ENSG00000281500	O43826	SLC37A4
ENSG00000281500		SLC37A4
ENSG00000282739	Q70HW3	SLC25A26
ENSG00000282739		SLC25A26
ENSG00000136155		SCEL
ENSG00000136155	O95171	SCEL
ENSG00000291539		SEL1L2
ENSG00000154889	Q53F39	MPPE1
ENSG00000150893	Q5SZK8	FREM2
ENSG00000154889		MPPE1
ENSG00000204918	P86481	PRR20B
ENSG00000136111		TBC1D4
ENSG00000136111	O60343	TBC1D4
ENSG00000227151	P86480	PRR20D
ENSG00000136158	O43597	SPRY2
ENSG00000234278	P86478	PRR20E
ENSG00000101489		CELF4
ENSG00000281614	Q92835	INPP5D
ENSG00000281614		INPP5D
ENSG00000281089		ATG16L1
ENSG00000281089	Q676U5	ATG16L1
ENSG00000120686	P61960	UFM1
ENSG00000120686		UFM1
ENSG00000281857		SAG
ENSG00000281857	P10523	SAG
ENSG00000102554	Q13887	KLF5
ENSG00000174015	Q8NA61	CBY2
ENSG00000174015		CBY2
ENSG00000205726	Q15811	ITSN1
ENSG00000205726		ITSN1
ENSG00000134882		UBAC2
ENSG00000134882	Q8NBM4	UBAC2
ENSG00000101489	Q9BZC1	CELF4
ENSG00000284017	Q9UPR0	PLCL2
ENSG00000284017		PLCL2
ENSG00000231824		AKAIN1
ENSG00000231824	P0CW23	AKAIN1
ENSG00000133119	P40938	RFC3
ENSG00000133119		RFC3
ENSG00000152192	Q01851	POU4F1
ENSG00000132874	Q15849	SLC14A2
ENSG00000132874		SLC14A2
ENSG00000288503	Q8N8A6	DDX51
ENSG00000288146	Q9BVI4	NOC4L
ENSG00000288146		NOC4L
ENSG00000288490	Q9HCQ5	GALNT9
ENSG00000288490		GALNT9
ENSG00000017797	Q15311	RALBP1
ENSG00000017797		RALBP1
ENSG00000159261	O95500	CLDN14
ENSG00000182957	Q96N96	SPATA13
ENSG00000241837		ATP5PO
ENSG00000182957		SPATA13
ENSG00000241837	P48047	ATP5PO
ENSG00000188811		NHLRC3
ENSG00000188811	Q5JS37	NHLRC3
ENSG00000102837	Q6UX06	OLFM4
ENSG00000154645	Q9H9P2	CHODL
ENSG00000154645		CHODL
ENSG00000204919	P86496	PRR20A
ENSG00000285395		XYLT1
ENSG00000141380	Q15532	SS18
ENSG00000141380		SS18
ENSG00000281178	Q9HAP2	MLXIP
ENSG00000160307	P04271	S100B
ENSG00000160307		S100B
ENSG00000156273		BACH1
ENSG00000156273	O14867	BACH1
ENSG00000065150		IPO5
ENSG00000291560		PCP4
ENSG00000291561		DSCAM
ENSG00000101745		ANKRD12
ENSG00000101745	Q6UB98	ANKRD12
ENSG00000065150	O00410	IPO5
ENSG00000152242		ARK2N
ENSG00000152242	Q96B23	ARK2N
ENSG00000157557	P15036	ETS2
ENSG00000157557		ETS2
ENSG00000157551		KCNJ15
ENSG00000154839	Q96BD8	SKA1
ENSG00000154839		SKA1
ENSG00000291554		RTP1
ENSG00000291555		RTP4
ENSG00000157551	Q99712	KCNJ15
ENSG00000291559		MASP1
ENSG00000141425		RPRD1A
ENSG00000141425	Q96P16	RPRD1A
ENSG00000152214	Q99578	RIT2
ENSG00000205758	O95825	CRYZL1
ENSG00000152214		RIT2
ENSG00000205758		CRYZL1
ENSG00000212710	Q9HC47	CTAGE1
ENSG00000212710	Q96RT6	CTAGE1
ENSG00000134489	Q9H3N8	HRH4
ENSG00000101773		RBBP8
ENSG00000291606		ADAMTSL3
ENSG00000283847	O60381	HBP1
ENSG00000283847		HBP1
ENSG00000291608		SH3GL3
ENSG00000156239	Q9Y5N5	N6AMT1
ENSG00000284369		COG5
ENSG00000249209		
ENSG00000291625		ZSCAN2
ENSG00000283812	Q99680	GPR22
ENSG00000284103		DUS4L
ENSG00000284103	O95620	DUS4L
ENSG00000291629		WDR73
ENSG00000283852	Q9UHQ4	BCAP29
ENSG00000154736	Q9UNA0	ADAMTS5
ENSG00000154736		ADAMTS5
ENSG00000101773	Q99708	RBBP8
ENSG00000291631		NMB
ENSG00000139734	Q9NSV4	DIAPH3
ENSG00000198445	Q96SF2	CCT8L2
ENSG00000157617		C2CD2
ENSG00000118946	O14917	PCDH17
ENSG00000168234	Q8N584	TTC39C
ENSG00000118946		PCDH17
ENSG00000168234		TTC39C
ENSG00000157617	Q9Y426	C2CD2
ENSG00000152484	O75317	USP12
ENSG00000152484		USP12
ENSG00000173276	Q9ULJ3	ZBTB21
ENSG00000141639	P31152	MAPK4
ENSG00000141639		MAPK4
ENSG00000173276		ZBTB21
ENSG00000141622		ARK2C
ENSG00000120688	O75554	WBP4
ENSG00000141622	Q6ZSG1	ARK2C
ENSG00000180440	A2A2V5	SERTM1
ENSG00000159228	P16152	CBR1
ENSG00000177511	O43173	ST8SIA3
ENSG00000159228		CBR1
ENSG00000177511		ST8SIA3
ENSG00000176641	Q8N8N0	RNF152
ENSG00000176641		RNF152
ENSG00000159231	O75828	CBR3
ENSG00000139514	P30825	SLC7A1
ENSG00000139514		SLC7A1
ENSG00000099917		MED15
ENSG00000291574		TMEM131
ENSG00000166510	Q9H2F9	CCDC68
ENSG00000166510		CCDC68
ENSG00000282172	P06315	IGKV5-2
ENSG00000282801	P01602	IGKV1-5
ENSG00000282163	A0A0C4DH72	IGKV1-6
ENSG00000282310	A0A075B6H7	IGKV3-7
ENSG00000291581		FAHD2B
ENSG00000283113	A0A0C4DH67	IGKV1-8
ENSG00000282758	A0A0C4DH69	IGKV1-9
ENSG00000282823	P04433	IGKV3-11
ENSG00000282694	A0A0C4DH73	IGKV1-12
ENSG00000159216	Q01196	RUNX1
ENSG00000282447	P01624	IGKV3-15
ENSG00000282282	P04430	IGKV1-16
ENSG00000291582		ANKRD36
ENSG00000281978	P01599	IGKV1-17
ENSG00000282402	P01619	IGKV3-20
ENSG00000282210	A0A0C4DH24	IGKV6-21
ENSG00000159216		RUNX1
ENSG00000282671	A0A0C4DH68	IGKV2-24
ENSG00000282666	A0A075B6S5	IGKV1-27
ENSG00000282025	A0A075B6P5	IGKV2-28
ENSG00000281933	P06310	IGKV2-30
ENSG00000282811		IGKV1-33
ENSG00000282811	P01594	IGKV1-33
ENSG00000282394	A0A075B6S9	IGKV1-37
ENSG00000282120	P01597	IGKV1-39
ENSG00000282182		IGKV2-40
ENSG00000291596		COX5B
ENSG00000291597		ACTR1B
ENSG00000166979		EVA1C
ENSG00000291598		C2orf92
ENSG00000088386	P46059	SLC15A1
ENSG00000166979	P58658	EVA1C
ENSG00000175387	Q15796	SMAD2
ENSG00000175387		SMAD2
ENSG00000291600		ANKRD36B
ENSG00000159079		CFAP298
ENSG00000150907	Q12778	FOXO1
ENSG00000291603		ZAP70
ENSG00000099917	Q96RN5	MED15
ENSG00000041353		RAB27B
ENSG00000041353	O00194	RAB27B
ENSG00000159079	P57076	CFAP298
ENSG00000136152	Q96JB2	COG3
ENSG00000211667	A0A075B6K2	IGLV3-12
ENSG00000091164	O43396	TXNL1
ENSG00000136152		COG3
ENSG00000265590		CFAP298-TCP10L
ENSG00000283864		
ENSG00000211668	P01706	IGLV2-11
ENSG00000091164		TXNL1
ENSG00000242220		TCP10L
ENSG00000134030	O43310	CTIF
ENSG00000136141	Q9Y2L9	LRCH1
ENSG00000134030		CTIF
ENSG00000242220	Q8TDR4	TCP10L
ENSG00000136141		LRCH1
ENSG00000099985	P13725	OSM
ENSG00000243627	A8MWV9	SMIM34
ENSG00000099985		OSM
ENSG00000141441		GAREM1
ENSG00000154640	Q14201	BTG3
ENSG00000154640		BTG3
ENSG00000141441	Q9H706	GAREM1
ENSG00000283985	Q6ZQX7	LIAT1
ENSG00000283985		LIAT1
ENSG00000184900		SUMO3
ENSG00000102543	Q9BWV3	CDADC1
ENSG00000283883	Q5VIR6	VPS53
ENSG00000102543		CDADC1
ENSG00000283883		VPS53
ENSG00000184900	P55854	SUMO3
ENSG00000185721	Q9Y295	DRG1
ENSG00000185721		DRG1
ENSG00000283979		RFLNB
ENSG00000184828	A1YPR0	ZBTB7C
ENSG00000283059	B2CW77	KLLN
ENSG00000284792		PTEN
ENSG00000154719	Q9NYK5	MRPL39
ENSG00000176635	Q8N7B1	HORMAD2
ENSG00000176635		HORMAD2
ENSG00000154719		MRPL39
ENSG00000155307	Q9NSI8	SAMSN1
ENSG00000184828		ZBTB7C
ENSG00000100365		NCF4
ENSG00000155307		SAMSN1
ENSG00000100365	Q15080	NCF4
ENSG00000228075	Q8IYS8	BOD1L2
ENSG00000205670	P58511	SMIM11
ENSG00000205670		SMIM11
ENSG00000083520	Q9Y2L1	DIS3
ENSG00000083520		DIS3
ENSG00000141665		FBXO15
ENSG00000141665	Q8NCQ5	FBXO15
ENSG00000159263	Q14190	SIM2
ENSG00000159263		SIM2
ENSG00000283302	A0A1B0GUA9	C13orf46
ENSG00000280477	Q14644	RASA3
ENSG00000141437	Q3SY17	SLC25A52
ENSG00000141437		SLC25A52
ENSG00000183145	P57055	RIPPLY3
ENSG00000133103	Q9Y2V7	COG6
ENSG00000160208	Q14684	RRP1B
ENSG00000133103		COG6
ENSG00000081138	Q9ULB5	CDH7
ENSG00000081138		CDH7
ENSG00000160209		PDXK
ENSG00000134779		TPGS2
ENSG00000102802	Q5VYS4	MEDAG
ENSG00000102802		MEDAG
