NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE		45	-0.20253032	-1.8066019	0.0	0.13307647	0.818	3014	tags=89%, list=65%, signal=251%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS		34	-0.23342857	-1.8011668	0.023255814	0.13268018	0.826	2735	tags=88%, list=59%, signal=214%	
GOCC_RECYCLING_ENDOSOME_MEMBRANE	GOCC_RECYCLING_ENDOSOME_MEMBRANE		27	-0.27585778	-1.7865963	0.012345679	0.13826671	0.848	2528	tags=89%, list=55%, signal=194%	
GOMF_GDP_BINDING	GOMF_GDP_BINDING		41	-0.21113193	-1.7861569	0.027027028	0.13426784	0.851	1777	tags=73%, list=38%, signal=118%	
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS		33	-0.23933548	-1.7607753	0.0	0.1484447	0.887	2265	tags=82%, list=49%, signal=159%	
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY		18	-0.3353581	-1.751185	0.018518519	0.15235355	0.902	1373	tags=72%, list=30%, signal=102%	
GOBP_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS	GOBP_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS		24	-0.27786347	-1.7491242	0.022988506	0.14971638	0.906	2528	tags=88%, list=55%, signal=191%	
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION		18	-0.329249	-1.7405108	0.015384615	0.15318859	0.914	2735	tags=94%, list=59%, signal=229%	
GOBP_NEUROTRANSMITTER_SECRETION	GOBP_NEUROTRANSMITTER_SECRETION		40	-0.21690698	-1.7402496	0.024390243	0.14962581	0.915	2265	tags=80%, list=49%, signal=155%	
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE		22	-0.28612465	-1.7393514	0.0	0.1463863	0.916	2298	tags=86%, list=50%, signal=170%	
GOMF_GTPASE_ACTIVITY	GOMF_GTPASE_ACTIVITY		138	-0.12567236	-1.7194022	0.0	0.15865457	0.938	1859	tags=63%, list=40%, signal=102%	
GOBP_TIGHT_JUNCTION_ORGANIZATION	GOBP_TIGHT_JUNCTION_ORGANIZATION		16	-0.35262355	-1.7120969	0.04347826	0.16098432	0.942	2567	tags=94%, list=55%, signal=209%	
GOCC_SYNAPTIC_VESICLE_MEMBRANE	GOCC_SYNAPTIC_VESICLE_MEMBRANE		37	-0.21677834	-1.6950656	0.021276595	0.17172922	0.958	2469	tags=81%, list=53%, signal=172%	
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY		68	-0.1537973	-1.6916542	0.0	0.17140123	0.959	2071	tags=69%, list=45%, signal=123%	
GOBP_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS		15	-0.336205	-1.6740862	0.028368793	0.18216409	0.968	2596	tags=93%, list=56%, signal=211%	
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION		16	-0.33168554	-1.673971	0.03448276	0.178024	0.968	2645	tags=94%, list=57%, signal=217%	
GOCC_RNA_CAP_BINDING_COMPLEX	GOCC_RNA_CAP_BINDING_COMPLEX		16	-0.34469292	-1.6716784	0.04255319	0.17658067	0.968	2660	tags=94%, list=57%, signal=219%	
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE		21	-0.2762306	-1.6712996	0.030612245	0.17293525	0.968	2294	tags=86%, list=49%, signal=169%	
GOCC_PRESYNAPTIC_MEMBRANE	GOCC_PRESYNAPTIC_MEMBRANE		30	-0.23612326	-1.6565434	0.05882353	0.1818065	0.971	1787	tags=73%, list=39%, signal=119%	
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION		18	-0.31899536	-1.6474365	0.030534351	0.18649584	0.975	1474	tags=72%, list=32%, signal=105%	
GOCC_COATED_VESICLE_MEMBRANE	GOCC_COATED_VESICLE_MEMBRANE		77	-0.13002045	-1.6403494	0.0	0.18897438	0.979	3197	tags=87%, list=69%, signal=276%	
GOCC_CLATHRIN_COATED_VESICLE	GOCC_CLATHRIN_COATED_VESICLE		75	-0.16440706	-1.6075068	0.0	0.21866325	0.988	3304	tags=92%, list=71%, signal=315%	
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS		20	-0.2929164	-1.5892534	0.046296295	0.23516698	0.99	2339	tags=85%, list=50%, signal=171%	
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	GOBP_ENDOTHELIAL_CELL_DEVELOPMENT		25	-0.2492187	-1.5813307	0.04597701	0.24004275	0.993	2328	tags=84%, list=50%, signal=168%	
GOMF_MYOSIN_BINDING	GOMF_MYOSIN_BINDING		22	-0.2627833	-1.5736313	0.017094018	0.24553306	0.994	2198	tags=82%, list=47%, signal=155%	
GOBP_SYNAPTIC_SIGNALING	GOBP_SYNAPTIC_SIGNALING		155	-0.105489336	-1.5730673	0.0	0.24176298	0.995	2484	tags=75%, list=54%, signal=156%	
GOCC_TIGHT_JUNCTION	GOCC_TIGHT_JUNCTION		30	-0.22899576	-1.5668792	0.073529415	0.24446596	0.995	2567	tags=87%, list=55%, signal=193%	
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY		42	-0.1851905	-1.5606234	0.060606062	0.24828783	0.997	2298	tags=79%, list=50%, signal=154%	
GOBP_MULTIVESICULAR_BODY_ORGANIZATION	GOBP_MULTIVESICULAR_BODY_ORGANIZATION		23	-0.24040224	-1.5567367	0.04255319	0.24761455	0.997	1916	tags=74%, list=41%, signal=125%	
GOBP_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS		15	-0.32154784	-1.5525521	0.057142857	0.24850312	0.997	2339	tags=87%, list=50%, signal=174%	
GOCC_PHOSPHATASE_COMPLEX	GOCC_PHOSPHATASE_COMPLEX		29	-0.23984592	-1.5496454	0.03076923	0.2479789	0.997	2163	tags=83%, list=47%, signal=154%	
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION		21	-0.25413582	-1.5436713	0.05	0.25081244	0.997	2265	tags=81%, list=49%, signal=158%	
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY		63	-0.1435227	-1.5293932	0.05882353	0.2634362	0.998	2035	tags=68%, list=44%, signal=120%	
GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	GOBP_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE		33	-0.2073804	-1.5257229	0.06896552	0.26373652	0.998	2658	tags=85%, list=57%, signal=197%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL		17	-0.29402816	-1.5190043	0.022222223	0.2685218	0.998	1642	tags=76%, list=35%, signal=118%	
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY		60	-0.14688796	-1.5167621	0.0	0.26702812	0.998	2035	tags=68%, list=44%, signal=120%	
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY		25	-0.23763962	-1.5167528	0.05376344	0.26292	0.998	2522	tags=84%, list=54%, signal=183%	
GOCC_9PLUS0_NON_MOTILE_CILIUM	GOCC_9PLUS0_NON_MOTILE_CILIUM		16	-0.2896315	-1.5163705	0.042857144	0.2595655	0.998	2491	tags=88%, list=54%, signal=188%	
GOCC_CELL_DIVISION_SITE	GOCC_CELL_DIVISION_SITE		34	-0.19752146	-1.5144875	0.037037037	0.2576117	0.998	3520	tags=97%, list=76%, signal=400%	
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION		22	-0.25157097	-1.5105041	0.0776699	0.25899637	0.998	3477	tags=100%, list=75%, signal=398%	
GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION	GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION		15	-0.31536523	-1.5003622	0.07482993	0.2671703	0.999	2735	tags=93%, list=59%, signal=227%	
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE		89	-0.1380512	-1.4962444	0.16666667	0.2689344	0.999	2265	tags=72%, list=49%, signal=138%	
GOBP_ORGANELLE_MEMBRANE_FUSION	GOBP_ORGANELLE_MEMBRANE_FUSION		57	-0.14659469	-1.4942421	0.0	0.26719117	0.999	2169	tags=72%, list=47%, signal=133%	
GOBP_MEMBRANE_DOCKING	GOBP_MEMBRANE_DOCKING		46	-0.16227464	-1.4840916	0.035714287	0.27582428	0.999	2528	tags=80%, list=55%, signal=175%	
GOBP_REGULATION_OF_DENDRITE_DEVELOPMENT	GOBP_REGULATION_OF_DENDRITE_DEVELOPMENT		31	-0.20939033	-1.4810973	0.04761905	0.27569285	0.999	2530	tags=84%, list=55%, signal=183%	
GOBP_PROTEIN_MONOUBIQUITINATION	GOBP_PROTEIN_MONOUBIQUITINATION		15	-0.30676386	-1.4799757	0.08805031	0.27328926	0.999	2792	tags=93%, list=60%, signal=234%	
GOCC_ESCRT_COMPLEX	GOCC_ESCRT_COMPLEX		19	-0.26764834	-1.4796427	0.05882353	0.27011564	0.999	3402	tags=100%, list=73%, signal=374%	
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES		21	-0.2546582	-1.4782014	0.07079646	0.26812258	0.999	1291	tags=71%, list=28%, signal=99%	
GOBP_LYMPHOCYTE_MIGRATION	GOBP_LYMPHOCYTE_MIGRATION		15	-0.30550438	-1.477743	0.058064517	0.2654304	0.999	2704	tags=93%, list=58%, signal=223%	
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY		53	-0.17547707	-1.4649229	0.0	0.27881035	0.999	2010	tags=74%, list=43%, signal=128%	
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION		30	-0.19919667	-1.447402	0.12068965	0.29819137	1.0	2020	tags=73%, list=44%, signal=129%	
GOBP_VASCULAR_TRANSPORT	GOBP_VASCULAR_TRANSPORT		18	-0.2665079	-1.444773	0.082706764	0.29785517	1.0	3407	tags=100%, list=73%, signal=376%	
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY		18	-0.2732457	-1.4418937	0.062015504	0.29783055	1.0	1966	tags=78%, list=42%, signal=135%	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY		33	-0.20359723	-1.435063	0.071428575	0.30435076	1.0	2728	tags=85%, list=59%, signal=205%	
GOBP_VESICLE_DOCKING	GOBP_VESICLE_DOCKING		31	-0.20936787	-1.4335009	0.06896552	0.30250898	1.0	2126	tags=77%, list=46%, signal=142%	
GOBP_VACUOLAR_ACIDIFICATION	GOBP_VACUOLAR_ACIDIFICATION		15	-0.31176978	-1.4322249	0.09638554	0.30067754	1.0	3197	tags=100%, list=69%, signal=321%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY		72	-0.12775029	-1.4309005	0.0	0.29918075	1.0	3382	tags=92%, list=73%, signal=333%	
GOMF_KINASE_ACTIVATOR_ACTIVITY	GOMF_KINASE_ACTIVATOR_ACTIVITY		32	-0.20146103	-1.4302292	0.04761905	0.2964452	1.0	1516	tags=66%, list=33%, signal=97%	
GOBP_REGULATION_OF_DENDRITE_MORPHOGENESIS	GOBP_REGULATION_OF_DENDRITE_MORPHOGENESIS		21	-0.25617743	-1.4300265	0.10526316	0.29336056	1.0	2484	tags=86%, list=54%, signal=184%	
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION		17	-0.2718615	-1.4298314	0.08064516	0.2902027	1.0	3382	tags=100%, list=73%, signal=368%	
GOCC_NON_MOTILE_CILIUM	GOCC_NON_MOTILE_CILIUM		20	-0.26075056	-1.4267184	0.08695652	0.29105365	1.0	2216	tags=80%, list=48%, signal=153%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS		63	-0.15049809	-1.4165964	0.16666667	0.3011485	1.0	2010	tags=71%, list=43%, signal=124%	
GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE		60	-0.14042336	-1.4165924	0.06666667	0.2978392	1.0	1991	tags=68%, list=43%, signal=118%	
GOBP_RECEPTOR_RECYCLING	GOBP_RECEPTOR_RECYCLING		18	-0.2528686	-1.4131769	0.09016393	0.2986748	1.0	3470	tags=100%, list=75%, signal=396%	
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY		78	-0.13709636	-1.4128442	0.0	0.29585785	1.0	2035	tags=68%, list=44%, signal=119%	
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE	GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE		20	-0.2461154	-1.3889532	0.08	0.32683808	1.0	2437	tags=85%, list=53%, signal=178%	
GOBP_INTRACELLULAR_LIPID_TRANSPORT	GOBP_INTRACELLULAR_LIPID_TRANSPORT		19	-0.2525817	-1.3882984	0.13333334	0.32447267	1.0	3134	tags=95%, list=68%, signal=291%	
GOMF_EXOGENOUS_PROTEIN_BINDING	GOMF_EXOGENOUS_PROTEIN_BINDING		23	-0.2371286	-1.3856324	0.12745099	0.325268	1.0	489	tags=48%, list=11%, signal=53%	
GOMF_PROTEIN_TYROSINE_KINASE_BINDING	GOMF_PROTEIN_TYROSINE_KINASE_BINDING		29	-0.20869862	-1.3697766	0.05263158	0.34584305	1.0	3240	tags=93%, list=70%, signal=307%	
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY		15	-0.28528348	-1.3627118	0.11904762	0.35326138	1.0	2888	tags=93%, list=62%, signal=247%	
GOBP_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	GOBP_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE		19	-0.25189042	-1.3585362	0.121212125	0.35631117	1.0	2197	tags=79%, list=47%, signal=149%	
GOBP_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	GOBP_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT		17	-0.26427245	-1.337698	0.09271523	0.38816887	1.0	2272	tags=88%, list=49%, signal=172%	
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC		18	-0.24322431	-1.3338639	0.107913665	0.39109024	1.0	1642	tags=72%, list=35%, signal=111%	
GOBP_ENDODERM_DEVELOPMENT	GOBP_ENDODERM_DEVELOPMENT		20	-0.23379257	-1.3332028	0.094339624	0.38819638	1.0	2083	tags=80%, list=45%, signal=145%	
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION		35	-0.17348902	-1.329505	0.125	0.39050305	1.0	3211	tags=91%, list=69%, signal=295%	
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION		18	-0.2574148	-1.3287822	0.13114753	0.38804024	1.0	2388	tags=83%, list=51%, signal=171%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE		134	-0.09404738	-1.3243434	0.0	0.3920675	1.0	2622	tags=78%, list=57%, signal=173%	
GOBP_MEMBRANE_FISSION	GOBP_MEMBRANE_FISSION		32	-0.17626628	-1.3219514	0.09375	0.39231706	1.0	3382	tags=94%, list=73%, signal=344%	
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY		20	-0.2297917	-1.3198968	0.14035088	0.39158127	1.0	2609	tags=85%, list=56%, signal=194%	
GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION		16	-0.25363037	-1.314807	0.13380282	0.39594346	1.0	1629	tags=69%, list=35%, signal=106%	
GOBP_PEPTIDYL_TYROSINE_MODIFICATION	GOBP_PEPTIDYL_TYROSINE_MODIFICATION		43	-0.15156242	-1.3124707	0.10526316	0.39622617	1.0	1474	tags=58%, list=32%, signal=84%	
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION		67	-0.14919926	-1.2992632	0.071428575	0.41461995	1.0	2458	tags=76%, list=53%, signal=160%	
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS		36	-0.16841929	-1.2989682	0.15254237	0.41150022	1.0	1780	tags=67%, list=38%, signal=107%	
GOCC_CLEAVAGE_FURROW	GOCC_CLEAVAGE_FURROW		24	-0.21233056	-1.2962266	0.16842106	0.41269436	1.0	1911	tags=71%, list=41%, signal=120%	
GOBP_INTERFERON_BETA_PRODUCTION	GOBP_INTERFERON_BETA_PRODUCTION		21	-0.22573657	-1.2938768	0.14655173	0.41308415	1.0	3596	tags=100%, list=78%, signal=443%	
GOCC_MEMBRANE_COAT	GOCC_MEMBRANE_COAT		52	-0.14146982	-1.2932339	0.125	0.4105114	1.0	2751	tags=81%, list=59%, signal=196%	
GOMF_SH3_DOMAIN_BINDING	GOMF_SH3_DOMAIN_BINDING		44	-0.15524657	-1.2895328	0.15384616	0.41333562	1.0	1860	tags=66%, list=40%, signal=109%	
GOBP_CELL_FATE_COMMITMENT	GOBP_CELL_FATE_COMMITMENT		41	-0.15333293	-1.2787431	0.17021276	0.42944688	1.0	2109	tags=71%, list=45%, signal=129%	
